cas_subtype,count
I-E,1295
I-F,646
I-C,639
I-B,549
II-C,414
II-A,340
III-A,217
III-B,216
I-A,154
III-D,114
I-D,113
I-U,58
VI-B1,41
V-A,30
II-B,22
III-C,16
I-V,7
VI-A,7
V-B,4
VI-C,2
