cas_subtype,count
I-E,10982
I-F,2172
I-C,1847
III-A,1637
I-B,1517
II-C,1451
II-A,1106
III-B,833
I-A,545
III-D,422
I-G,379
I-D,247
VI-B1,118
V-K,66
II-B,55
III-C,52
V-A,49
V-B,15
VI-A,7
V-B1,4
VI-C,2
V-F4,1
