category,builtin_importance,feature_count,permutation_importance
whole-repeat k-mer,0.49010135730480264,336,0.00013626298756599367
terminal k-mer,0.3649022682437406,336,-0.0010560381536364183
terminal composition,0.05843474588880135,20,-0.00047692045648106696
array statistics,0.027992005824661142,5,-0.0013966956225515137
repeat composition,0.02390095288777619,4,-0.000987906659853466
other,0.023726031161935508,4,-0.0004428547095894908
repeat structure,0.010942638688282701,3,0.0002384602282404336
