bin_lower,bin_upper,row_count,mean_confidence,accuracy,calibration_gap
0.0,0.1,0,0.05,0.0,-0.05
0.1,0.2,16,0.17375000000000002,0.4375,0.26375
0.2,0.3,91,0.24846153846153848,0.4065934065934066,0.1581318681318681
0.3,0.4,76,0.34523026315789473,0.8026315789473685,0.45740131578947374
0.4,0.5,100,0.45557500000000006,0.89,0.43442499999999995
0.5,0.6,125,0.55248,0.928,0.3755200000000001
0.6,0.7,204,0.6459313725490196,0.9950980392156863,0.34916666666666674
0.7,0.8,135,0.7478888888888889,0.9851851851851852,0.23729629629629623
0.8,0.9,130,0.849423076923077,1.0,0.15057692307692305
0.9,1.0,338,0.9725295857988165,0.9940828402366864,0.021553254437869818
