source_key	bacterium	strain	query	candidate_rank	assembly_uid	assembly_accession	assembly_name	assembly_level	organism	ftp_path	reported_strain	review_status	notes
Sofy2021_KPP5	Klebsiella pneumoniae	K_pneumoniae_4	"""Klebsiella pneumoniae""[Organism] AND ""K pneumoniae 4""[All Fields]"	1	19243251	GCA_032746235.1	PDT001940606.1	Contig	Klebsiella pneumoniae (enterobacteria)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/746/235/GCA_032746235.1_PDT001940606.1	K. pneumoniae-4	promoted_exact_assembly	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=K. pneumoniae-4 and full genome representation.
Sofy2021_KPP5	Klebsiella pneumoniae	K_pneumoniae_5	"""Klebsiella pneumoniae""[Organism] AND ""K pneumoniae 5""[All Fields]"	1	19236011	GCA_032742255.1	PDT001940652.1	Contig	Klebsiella pneumoniae (enterobacteria)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/742/255/GCA_032742255.1_PDT001940652.1	K. pneumoniae-5	promoted_exact_assembly	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=K. pneumoniae-5 and full genome representation.
Sofy2021_KPP5	Klebsiella pneumoniae	K_pneumoniae_6	"""Klebsiella pneumoniae""[Organism] AND ""K pneumoniae 6""[All Fields]"	1	19243201	GCA_032746015.1	PDT001940647.1	Contig	Klebsiella pneumoniae (enterobacteria)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/746/015/GCA_032746015.1_PDT001940647.1	K. pneumoniae-6	promoted_exact_assembly	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=K. pneumoniae-6 and full genome representation.
Sofy2021_KPP5	Klebsiella pneumoniae	K_pneumoniae_7	"""Klebsiella pneumoniae""[Organism] AND ""K pneumoniae 7""[All Fields]"	1	19243211	GCA_032746055.1	PDT001940629.1	Contig	Klebsiella pneumoniae (enterobacteria)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/746/055/GCA_032746055.1_PDT001940629.1	K. pneumoniae-7	promoted_exact_assembly	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=K. pneumoniae-7 and full genome representation.
Sofy2021_KPP5	Klebsiella pneumoniae	K_pneumoniae_8	"""Klebsiella pneumoniae""[Organism] AND ""K pneumoniae 8""[All Fields]"	1	19242821	GCA_032743735.1	PDT001940545.1	Contig	Klebsiella pneumoniae (enterobacteria)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/743/735/GCA_032743735.1_PDT001940545.1	K. pneumoniae-8	promoted_exact_assembly	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=K. pneumoniae-8 and full genome representation.
Sofy2021_KPP5	Klebsiella pneumoniae	K_pneumoniae_9	"""Klebsiella pneumoniae""[Organism] AND ""K pneumoniae 9""[All Fields]"	0								no_candidate	
Sofy2021_KPP5	Klebsiella pneumoniae	K_pneumoniae_10	"""Klebsiella pneumoniae""[Organism] AND ""K pneumoniae 10""[All Fields]"	1	19242831	GCA_032743755.1	PDT001940539.1	Contig	Klebsiella pneumoniae (enterobacteria)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/743/755/GCA_032743755.1_PDT001940539.1	K. pneumoniae-10	promoted_exact_assembly	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=K. pneumoniae-10 and full genome representation.
Sofy2021_KPP5	Klebsiella pneumoniae	K_pneumoniae_11	"""Klebsiella pneumoniae""[Organism] AND ""K pneumoniae 11""[All Fields]"	0								no_candidate	
Sofy2021_KPP5	Klebsiella pneumoniae	K_pneumoniae_12	"""Klebsiella pneumoniae""[Organism] AND ""K pneumoniae 12""[All Fields]"	1	19242851	GCA_032743795.1	PDT001940534.1	Contig	Klebsiella pneumoniae (enterobacteria)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/743/795/GCA_032743795.1_PDT001940534.1	K. pneumoniae-12	promoted_exact_assembly	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=K. pneumoniae-12 and full genome representation.
Sofy2021_KPP5	Klebsiella pneumoniae	K_pneumoniae_13	"""Klebsiella pneumoniae""[Organism] AND ""K pneumoniae 13""[All Fields]"	1	19251691	GCA_032764725.1	PDT001940533.1	Contig	Klebsiella pneumoniae (enterobacteria)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/764/725/GCA_032764725.1_PDT001940533.1	K. pneumoniae-13	promoted_exact_assembly	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=K. pneumoniae-13 and full genome representation.
Sofy2021_KPP5	Klebsiella pneumoniae	K_pneumoniae_14	"""Klebsiella pneumoniae""[Organism] AND ""K pneumoniae 14""[All Fields]"	1	19242861	GCA_032743815.1	PDT001940532.1	Contig	Klebsiella pneumoniae (enterobacteria)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/743/815/GCA_032743815.1_PDT001940532.1	K. pneumoniae-14	promoted_exact_assembly	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=K. pneumoniae-14 and full genome representation.
Sofy2021_KPP5	Klebsiella pneumoniae	K_pneumoniae_15	"""Klebsiella pneumoniae""[Organism] AND ""K pneumoniae 15""[All Fields]"	1	19242871	GCA_032743855.1	PDT001940529.1	Contig	Klebsiella pneumoniae (enterobacteria)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/743/855/GCA_032743855.1_PDT001940529.1	K. pneumoniae-15	promoted_exact_assembly	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=K. pneumoniae-15 and full genome representation.
Sofy2021_KPP5	Klebsiella pneumoniae	K_pneumoniae_16	"""Klebsiella pneumoniae""[Organism] AND ""K pneumoniae 16""[All Fields]"	1	19251721	GCA_032764785.1	PDT001940528.1	Contig	Klebsiella pneumoniae (enterobacteria)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/764/785/GCA_032764785.1_PDT001940528.1	K. pneumoniae-16	promoted_exact_assembly	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=K. pneumoniae-16 and full genome representation.
Sofy2021_KPP5	Klebsiella pneumoniae	K_pneumoniae_17	"""Klebsiella pneumoniae""[Organism] AND ""K pneumoniae 17""[All Fields]"	1	19241831	GCA_032738925.1	PDT001940525.1	Contig	Klebsiella pneumoniae (enterobacteria)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/738/925/GCA_032738925.1_PDT001940525.1	K. pneumoniae-17	promoted_exact_assembly	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=K. pneumoniae-17 and full genome representation.
Sofy2021_KPP5	Klebsiella pneumoniae	K_pneumoniae_18	"""Klebsiella pneumoniae""[Organism] AND ""K pneumoniae 18""[All Fields]"	1	19244331	GCA_032750515.1	PDT001940523.1	Contig	Klebsiella pneumoniae (enterobacteria)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/750/515/GCA_032750515.1_PDT001940523.1	K. pneumoniae-18	promoted_exact_assembly	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=K. pneumoniae-18 and full genome representation.
Sofy2021_KPP5	Klebsiella pneumoniae	K_pneumoniae_19	"""Klebsiella pneumoniae""[Organism] AND ""K pneumoniae 19""[All Fields]"	1	19241821	GCA_032738905.1	PDT001940522.1	Contig	Klebsiella pneumoniae (enterobacteria)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/738/905/GCA_032738905.1_PDT001940522.1	K. pneumoniae-19	promoted_exact_assembly	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=K. pneumoniae-19 and full genome representation.
Sofy2021_KPP5	Escherichia coli	E_coli_1	"""Escherichia coli""[Organism] AND ""E coli 1""[All Fields]"	1	31942801	GCA_055734145.1	PDT003135332.1	Contig	Escherichia coli (E. coli)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/055/734/145/GCA_055734145.1_PDT003135332.1	E. coli_1	promoted_exact_assembly	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=E. coli_1 and full genome representation.
Sofy2021_KPP5	Escherichia coli	E_coli_1	"""Escherichia coli""[Organism] AND ""E coli 1""[All Fields]"	2	27778811	GCA_048654645.1	PDT002662354.1	Contig	Escherichia coli (E. coli)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/048/654/645/GCA_048654645.1_PDT002662354.1	E. coli 1	rejected	Rejected: another exact assembly was already promoted for this strain.
Sofy2021_KPP5	Escherichia coli	E_coli_1	"""Escherichia coli""[Organism] AND ""E coli 1""[All Fields]"	3	19233481	GCA_032737565.1	PDT001940700.1	Contig	Escherichia coli (E. coli)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/737/565/GCA_032737565.1_PDT001940700.1	E. coli-1	rejected	Rejected: another exact assembly was already promoted for this strain.
Sofy2021_KPP5	Escherichia coli	E_coli_2	"""Escherichia coli""[Organism] AND ""E coli 2""[All Fields]"	1	31942811	GCA_055734185.1	PDT003135331.1	Contig	Escherichia coli (E. coli)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/055/734/185/GCA_055734185.1_PDT003135331.1	E. coli_2	promoted_exact_assembly	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=E. coli_2 and full genome representation.
Sofy2021_KPP5	Escherichia coli	E_coli_2	"""Escherichia coli""[Organism] AND ""E coli 2""[All Fields]"	2	19235861	GCA_032741955.1	PDT001940699.1	Contig	Escherichia coli (E. coli)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/741/955/GCA_032741955.1_PDT001940699.1	E. coli-2	rejected	Rejected: another exact assembly was already promoted for this strain.
Sofy2021_KPP5	Escherichia coli	E_coli_3	"""Escherichia coli""[Organism] AND ""E coli 3""[All Fields]"	1	31942881	GCA_055734295.1	PDT003135320.1	Contig	Escherichia coli (E. coli)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/055/734/295/GCA_055734295.1_PDT003135320.1	E. coli_3	promoted_exact_assembly	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=E. coli_3 and full genome representation.
Sofy2021_KPP5	Escherichia coli	E_coli_3	"""Escherichia coli""[Organism] AND ""E coli 3""[All Fields]"	2	19241701	GCA_032738465.1	PDT001940588.1	Contig	Escherichia coli (E. coli)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/738/465/GCA_032738465.1_PDT001940588.1	E. coli-3	rejected	Rejected: another exact assembly was already promoted for this strain.
Sofy2021_KPP5	Escherichia coli	E_coli_4	"""Escherichia coli""[Organism] AND ""E coli 4""[All Fields]"	0								no_candidate	
Sofy2021_KPP5	Escherichia coli	E_coli_5	"""Escherichia coli""[Organism] AND ""E coli 5""[All Fields]"	1	31942941	GCA_055734425.1	PDT003135306.1	Contig	Escherichia coli (E. coli)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/055/734/425/GCA_055734425.1_PDT003135306.1	E. coli_5	promoted_exact_assembly	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=E. coli_5 and full genome representation.
Sofy2021_KPP5	Escherichia coli	E_coli_5	"""Escherichia coli""[Organism] AND ""E coli 5""[All Fields]"	2	19244091	GCA_032750035.1	PDT001940635.1	Contig	Escherichia coli (E. coli)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/750/035/GCA_032750035.1_PDT001940635.1	E. coli-5	rejected	Rejected: another exact assembly was already promoted for this strain.
Sofy2021_KPP5	Escherichia coli	E_coli_6	"""Escherichia coli""[Organism] AND ""E coli 6""[All Fields]"	1	31942971	GCA_055734465.1	PDT003135305.1	Contig	Escherichia coli (E. coli)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/055/734/465/GCA_055734465.1_PDT003135305.1	E. coli_6	promoted_exact_assembly	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=E. coli_6 and full genome representation.
Sofy2021_KPP5	Salmonella enterica	S_Typhimurium_1	"""Salmonella enterica""[Organism] AND ""S Typhimurium 1""[All Fields]"	0								no_candidate	
Sofy2021_KPP5	Salmonella enterica	S_Typhimurium_2	"""Salmonella enterica""[Organism] AND ""S Typhimurium 2""[All Fields]"	0								no_candidate	
Sofy2021_KPP5	Salmonella enterica	S_Typhimurium_3	"""Salmonella enterica""[Organism] AND ""S Typhimurium 3""[All Fields]"	0								no_candidate	
Sofy2021_KPP5	Pseudomonas aeruginosa	P_aeruginosa_1	"""Pseudomonas aeruginosa""[Organism] AND ""P aeruginosa 1""[All Fields]"	0								no_candidate	
Sofy2021_KPP5	Pseudomonas aeruginosa	P_aeruginosa_2	"""Pseudomonas aeruginosa""[Organism] AND ""P aeruginosa 2""[All Fields]"	0								no_candidate	
Sofy2021_KPP5	Pseudomonas aeruginosa	P_aeruginosa_3	"""Pseudomonas aeruginosa""[Organism] AND ""P aeruginosa 3""[All Fields]"	1	19236541	GCA_032743355.1	PDT001940587.1	Contig	Pseudomonas aeruginosa (g-proteobacteria)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/743/355/GCA_032743355.1_PDT001940587.1	P. aeruginosa-3	promoted_exact_assembly	Exact host assembly promoted from NCBI Assembly on 2026-06-08; assembly report gives strain=P. aeruginosa-3 and full genome representation.
Latka2021_K23Klebsiella	Klebsiella pneumoniae	Kp-9068	"""Klebsiella pneumoniae""[Organism] AND ""Kp-9068""[All Fields]"	0								no_candidate	
Latka2021_K23Klebsiella	Klebsiella pneumoniae	KPi4275	"""Klebsiella pneumoniae""[Organism] AND ""KPi4275""[All Fields]"	0								no_candidate	
Latka2021_K23Klebsiella	Klebsiella pneumoniae	KPB2304-15	"""Klebsiella pneumoniae""[Organism] AND ""KPB2304-15""[All Fields]"	0								no_candidate	
Latka2021_K23Klebsiella	Klebsiella pneumoniae	KPB536-17-2	"""Klebsiella pneumoniae""[Organism] AND ""KPB536-17-2""[All Fields]"	0								no_candidate	
