confidence_threshold,row_count,coverage_fraction,accuracy
0.0,5871,1.0,0.9454948049735991
0.05,5871,1.0,0.9454948049735991
0.1,5871,1.0,0.9454948049735991
0.15,5869,0.999659342531085,0.945646617822457
0.2,5838,0.9943791517629024,0.9498115793079822
0.25,5783,0.9850110713677397,0.9579802870482449
0.3,5725,0.9751320047692046,0.9619213973799127
0.35,5663,0.9645716232328394,0.9662722938371888
0.4,5587,0.9516266394140691,0.9715410775013424
0.45,5525,0.9410662578777039,0.9742986425339366
0.5,5471,0.9318685062169988,0.9767866934746847
0.55,5395,0.9189235223982286,0.9786839666357738
0.6,5332,0.9081928121274059,0.9803075768942235
0.65,5274,0.8983137455288707,0.9821767159651119
0.7,5205,0.886561062851303,0.9838616714697407
0.75,5140,0.8754896951115653,0.9846303501945526
0.8,5071,0.8637370124339976,0.9858016170380596
0.85,4993,0.8504513711463124,0.9865812136991788
0.9,4873,0.830011923011412,0.9880976810999385
0.95,4730,0.8056549139839891,0.9898520084566597
1.0,4195,0.714529041049225,0.9969010727056019
