bin_lower,bin_upper,row_count,mean_confidence,accuracy,calibration_gap
0.0,0.1,0,0.05,0.0,-0.05
0.1,0.2,33,0.1737878787878788,0.18181818181818182,0.008030303030303027
0.2,0.3,113,0.2517699115044248,0.336283185840708,0.0845132743362832
0.3,0.4,138,0.34664855072463774,0.572463768115942,0.22581521739130428
0.4,0.5,116,0.44928879310344827,0.7241379310344828,0.2748491379310345
0.5,0.6,139,0.5469154100686748,0.841726618705036,0.2948112086363611
0.6,0.7,127,0.6527278504557009,0.8346456692913385,0.18191781883563762
0.7,0.8,134,0.7515858208955224,0.9104477611940298,0.15886194029850742
0.8,0.9,198,0.8539687525593194,0.9292929292929293,0.07532417673360992
0.9,1.0,4873,0.9961276421095835,0.9880976810999385,-0.008029961009645037
